ファイルパス,タイトル,タイトルの日本語訳
_posts/2025-12-26-lewis-carroll-computed-determinants.md,Lewis Carroll Computed Determinants,ルイス・キャロルが計算した行列式
_posts/2025-12-26-logging-sucks-and-heres-how-to-make-it-better.md,Logging Sucks - And here's how to make it better.,ロギングは最悪だ - そして、それを改善する方法
_posts/2025-12-26-maestro-desktop-ai-agent-command-center-freeoss.md,Maestro - Desktop AI Agent Command Center (Free/OSS),Maestro - デスクトップAIエージェントコマンドセンター（無料/OSS）
_posts/2025-12-26-make-your-pr-process-resilient-to-ai-slop.md,Make your PR process resilient to AI slop,PRプロセスをAIの「スロップ（ゴミ）」に耐性のあるものにする
_posts/2025-12-26-manitoba-premier-uses-ai-to-make-homemade-ojibwa-t.md,Manitoba premier uses AI to make homemade Ojibwa translator,マニトバ州首相、AIを使って自家製のオジブワ語翻訳機を作成
_posts/2025-12-26-marsha-blackburn-bundles-every-bad-tech-bill-into.md,"Marsha Blackburn Bundles Every Bad Tech Bill Into One, Slaps the President's Name On It",マーシャ・ブラックバーン、すべての悪い技術法案を一つにまとめ、大統領の名前を冠する
_posts/2025-12-26-maybe-the-default-settings-are-too-high.md,Maybe the default settings are too high,おそらくデフォルト設定が高すぎる
_posts/2025-12-26-mean-time-to-understanding-the-irreducible-human-e.md,Mean Time to Understanding 🤔: The Irreducible Human Element in the Age of,理解までの平均時間 🤔：AI時代における還元不可能な人間的要素
_posts/2025-12-26-microsoft-is-finally-killing-rc4.md,Microsoft Is Finally Killing RC4,Microsoft、ついにRC4を廃止
_posts/2025-12-26-minimax-m21-built-for-real-world-complex-tasks-mul.md,"MiniMax M2.1: Built for Real-World Complex Tasks, Multi-Language Programming",MiniMax M2.1：現実世界の複雑なタスク、多言語プログラミング向けに構築
_posts/2025-12-26-mongobleed.md,MongoBleed,MongoBleed
_posts/2025-12-26-my-insulin-pump-controller-uses-the-linux-kernel-i.md,My insulin pump controller uses the Linux kernel. It also violates the GPL,私のインスリンポンプコントローラーはLinuxカーネルを使用している。そしてGPLにも違反している
_posts/2025-12-26-new-york-to-require-social-media-platforms-to-disp.md,New York to require social media platforms to display mental health warnings,ニューヨーク州、ソーシャルメディアプラットフォームにメンタルヘルス警告の表示を義務付けへ
_posts/2025-12-26-one-formula-that-demystifies-3d-graphics.md,One Formula That Demystifies 3D Graphics,3Dグラフィックスの謎を解き明かす一つの公式
_posts/2025-12-26-package-managers-keep-using-git-as-a-database-it-n.md,"Package managers keep using git as a database, it never works out",パッケージマネージャーがgitをデータベースとして使い続けているが、決してうまくいかない
_posts/2025-12-26-paperbacks-and-tiktok.md,Paperbacks and TikTok,ペーパーバックとTikTok
_posts/2025-12-26-phoenix-a-modern-x-server-written-from-scratch-in.md,phoenix - A modern X server written from scratch in Zig,phoenix - Zigでゼロから書かれたモダンなXサーバー
_posts/2025-12-26-plant-identifier-amp-health-scan-app.md,Plant Identifier &amp; health scan app,植物識別＆健康スキャンアプリ
_posts/2025-12-26-play-the-monty-hall-game.md,Play the Monty Hall game,モンティ・ホール・ゲームをプレイする
_posts/2025-12-26-python-315s-interpreter-for-windows-x86-64-should.md,Python 3.15’s interpreter for Windows x86-64 should hopefully be 15% faster,Windows x86-64向けのPython 3.15インタープリタは、15%高速化される見込み
_posts/2025-12-26-ratings-tank-for-kennedy-center-honors-with-us-pre.md,Ratings Tank For Kennedy Center Honors With US President as Host,米国大統領がホストを務めたケネディ・センター名誉賞の視聴率が急落
_posts/2025-12-26-released-kc3-v0116.md,Released KC3 v0.1.16,KC3 v0.1.16がリリース
_posts/2025-12-26-rob-pike-goes-nuclear-over-genai.md,Rob Pike Goes Nuclear over GenAI,ロブ・パイク、生成AIに対して激怒
_posts/2025-12-26-rob-pike-got-spammed-with-an-ai-slop-act-of-kindne.md,"Rob Pike got spammed with an AI slop ""act of kindness",ロブ・パイク、AIによる「親切心」という名のゴミ（slop）を送りつけられる
_posts/2025-12-26-robocop-breaking-the-law-h0ffman-cracks-robocop-ar.md,RoboCop – Breaking The Law. H0ffman Cracks RoboCop Arcade from DataEast,ロボコップ – 法を破る。H0ffmanがデータイーストのロボコップ・アーケードをクラック
_posts/2025-12-26-ruby-400-released-ruby.md,Ruby 4.0.0 Released | Ruby,Ruby 4.0.0がリリースされました | Ruby
_posts/2025-12-26-russian-enthusiasts-are-planning-to-build-their-ow.md,Russian enthusiasts are planning to build their own DDR5 RAM amidst the worldwide,ロシアの愛好家、世界的な不足の中で独自のDDR5 RAMの構築を計画中
_posts/2025-12-26-schwarzschild-geodesic-visualization-in-cwebassemb.md,Schwarzschild Geodesic Visualization in C++/WebAssembly,C++/WebAssemblyによるシュヴァルツシルト測地線の可視化
_posts/2025-12-26-scraping-on-the-edge-how-i-built-a-lightning-fast.md,Scraping on the Edge: How I Built a Lightning-Fast Manga Reader with SvelteKit,エッジでのスクレイピング：SvelteKitで超高速マンガリーダーを構築した方法
_posts/2025-12-26-sendspin-music-experience-protocol.md,Sendspin: Music Experience Protocol,Sendspin：音楽体験プロトコル
_posts/2025-12-26-seven-diabetes-patients-die-due-to-undisclosed-bug.md,Seven Diabetes Patients Die Due to Undisclosed Bug in Abbott's Glucose Monitors,アボット社の血糖値モニターの未公開バグにより、7人の糖尿病患者が死亡
_posts/2025-12-26-show-hn-autolisp-interpreter-in-rustwasm-a-cad-wor.md,Show HN: AutoLISP interpreter in Rust/WASM – a CAD workflow invented 33 yrs,Show HN: Rust/WASMによるAutoLISPインタープリタ – 33年前に発明されたCADワークフロー
_posts/2025-12-26-show-hn-gaming-couch-a-local-multiplayer-party-gam.md,Show HN: Gaming Couch – a local multiplayer party game platform for 8 players,Show HN: Gaming Couch – 8人まで遊べるローカルマルチプレイヤー・パーティーゲーム・プラットフォーム
_posts/2025-12-26-show-hn-geneguessr-a-daily-biology-web-puzzle.md,Show HN: GeneGuessr – a daily biology web puzzle,Show HN: GeneGuessr – 日替わりの生物学ウェブパズル
_posts/2025-12-26-show-hn-private-blogging-and-journaling-with-a-sim.md,Show HN: Private blogging and journaling with a simulated audience,Show HN: 擬似的な観客がいるプライベートなブログとジャーナリング
_posts/2025-12-26-show-hn-spice-cayenne-sql-acceleration-built-on-vo.md,Show HN: Spice Cayenne – SQL acceleration built on Vortex,Show HN: Spice Cayenne – Vortex上に構築されたSQLアクセラレーション
_posts/2025-12-26-show-hn-witr-explain-why-a-process-is-running-on-y.md,Show HN: Witr – Explain why a process is running on your Linux system,Show HN: Witr – Linuxシステムでプロセスが実行されている理由を説明する
_posts/2025-12-26-show-hn-xcc700-self-hosting-mini-c-compiler-for-es.md,Show HN: Xcc700: Self-hosting mini C compiler for ESP32 (Xtensa) in 700 lines,Show HN: Xcc700: 700行で書かれたESP32 (Xtensa) 向けセルフホスティング・ミニCコンパイラ
_posts/2025-12-26-show-twine-a-tool-to-dynamically-trace-calls-in-pr.md,Show: Twine - A tool to dynamically trace calls in production Elixir systems,Show: Twine - 本番環境のElixirシステムで呼び出しを動的にトレースするツール
_posts/2025-12-26-simplifying-the-build-process-for-vst3-rs.md,Simplifying the build process for vst3-rs,vst3-rsのビルドプロセスの簡素化
_posts/2025-12-26-south-park-writer-toby-morton-purchases-president.md,"‘South Park’ writer Toby Morton purchases President-Kennedy Center web addresses,",「サウスパーク」のライター、トビー・モートン氏がケネディ・センターのウェブアドレスを購入
_posts/2025-12-26-ssh-tinychristmas.md,ssh tiny.christmas,ssh tiny.christmas
_posts/2025-12-26-steve-wants-us-to-make-the-macintosh-boot-faster.md,Steve wants us to make the Macintosh boot faster,スティーブは私たちにMacintoshの起動を速くしてほしいと思っている
_posts/2025-12-26-tachyon-high-frequency-statistical-sampling-profil.md,Tachyon: High frequency statistical sampling profiler,Tachyon：高頻度統計サンプリングプロファイラ
_posts/2025-12-26-technical-debt-is-a-myth-created-by-bad-managers.md,Technical Debt Is a Myth Created By Bad Managers,技術的負債は悪いマネージャーによって作られた神話である
_posts/2025-12-26-tesla-opens-engineering-investigation-into-cybertr.md,Tesla Opens Engineering Investigation into Cybertruck Wipers,テスラ、サイバートラックのワイパーに関する技術調査を開始
_posts/2025-12-26-teslas-european-sales-plunge.md,Tesla’s European Sales Plunge,テスラの欧州販売が急落
_posts/2025-12-26-the-algebra-of-loans-in-rust.md,The Algebra of Loans in Rust,Rustにおける借用の代数
_posts/2025-12-26-the-best-things-and-stuff-of-2025.md,The Best Things and Stuff of 2025,2025年のベスト・シングス＆スタッフ
_posts/2025-12-26-the-compiler-is-your-best-friend-stop-lying-to-it.md,"The Compiler Is Your Best Friend, Stop Lying to It",コンパイラはあなたの親友です、嘘をつくのはやめましょう
_posts/2025-12-26-the-day-i-stopped-chasing-everything-and-found-my.md,The Day I Stopped Chasing Everything and Found My One Thing,すべてを追いかけるのをやめ、自分の「たった一つのこと」を見つけた日
_posts/2025-12-26-the-entire-new-yorker-archive-is-now-digitized.md,The entire New Yorker archive is now digitized,ニューヨーカー誌の全アーカイブがデジタル化
_posts/2025-12-26-the-hidden-power-of-nexttick-setimmediate-in-nodej.md,The Hidden Power of nextTick + setImmediate in Node.js,Node.jsにおけるnextTick + setImmediateの隠れた力
_posts/2025-12-26-the-html-elements-time-forgot.md,The HTML Elements Time Forgot,時間が忘れ去ったHTML要素
_posts/2025-12-26-the-internet-just-made-a-300tb-copy-of-spotify-upd.md,The internet just made a 300TB copy of Spotify! (Updated: Spotify reaction),インターネットがSpotifyの300TBのコピーを作成！（更新：Spotifyの反応）
_posts/2025-12-26-the-seepage-of-ai-into-christian-practice-is-distu.md,The seepage of AI into Christian practice is disturbing | What does it mean when chatbots become digital pastors or religious music is bot-generated?,キリスト教の習慣へのAIの浸透は不穏である | チャットボットがデジタル牧師になり、宗教音楽がボット生成されることは何を意味するのか？
_posts/2025-12-26-til-serdes-borrowing-can-be-treacherous.md,TIL: serde's borrowing can be treacherous,TIL: serdeの借用は油断ならない
_posts/2025-12-26-tiled-art.md,Tiled Art,タイル状のアート
_posts/2025-12-26-top-7-featured-dev-posts-of-the-week.md,Top 7 Featured DEV Posts of the Week,今週の注目のDEV投稿トップ7
_posts/2025-12-26-turbodiffusion-100200-acceleration-for-video-diffu.md,TurboDiffusion: 100–200× Acceleration for Video Diffusion Models,TurboDiffusion：ビデオ拡散モデルの100〜200倍の加速
_posts/2025-12-26-ultimate-linux-userspace-for-linux-in-pure-javascr.md,Ultimate-Linux: Userspace for Linux in Pure JavaScript,Ultimate-Linux：純粋なJavaScriptによるLinuxユーザー空間
_posts/2025-12-26-undefinable-yet-indispensable.md,Undefinable yet Indispensable,定義不可能だが不可欠なもの
_posts/2025-12-26-understanding-the-northern-lights.md,Understanding the Northern Lights,オーロラを理解する
_posts/2025-12-26-unix-find-expressions-compiled-to-bytecode.md,"Unix \""find\"" expressions compiled to bytecode",バイトコードにコンパイルされたUnixの「find」式
_posts/2025-12-26-us-disrupts-multimillion-dollar-bank-account-takeo.md,US disrupts multimillion-dollar bank account takeover operation targeting Americans,米国、アメリカ人を標的とした数百万ドル規模の銀行口座乗っ取り作戦を阻止
_posts/2025-12-26-we-solved-c10k-years-ago-yet-we-keep-reinventing-i.md,We “solved” C10K years ago yet we keep reinventing it,C10K問題は何年も前に「解決」したが、私たちはそれを再発明し続けている
_posts/2025-12-26-what-are-you-doing-this-weekend.md,What are you doing this weekend?,今週末は何をしますか？
_posts/2025-12-26-what-happened-to-all-the-gold-spain-got-from-the-n.md,What happened to all the gold Spain got from the New World? (1985),スペインが新世界から得たすべての金はどうなったのか？ (1985)
_posts/2025-12-26-what-the-linux-desktop-really-needs-to-challenge-w.md,What the Linux desktop really needs to challenge Windows,LinuxデスクトップがWindowsに挑むために本当に必要なもの
_posts/2025-12-26-what-was-your-win-this-week.md,What was your win this week???,今週のあなたの成果は何でしたか？
_posts/2025-12-26-when-a-driver-challenges-the-kernels-assumptions.md,When a driver challenges the kernel's assumptions,ドライバーがカーネルの前提に挑むとき
_posts/2025-12-26-where-were-going-we-dont-need-chatbots-introducing.md,"Where we''re going, we don''t need chatbots: introducing the Antigravity IDE",私たちが行く場所にチャットボットは不要：Antigravity IDEの紹介
_posts/2025-12-26-wifi-densepose-wifi-based-dense-human-pose-estimat.md,WiFi DensePose: WiFi-based dense human pose estimation system through walls,WiFi DensePose：壁越しにWiFiベースで高密度な人間のポーズを推定するシステム
_posts/2025-12-26-wpfmvvm-lottery-analytics-project-charts-tables-an.md,"WPF/MVVM lottery analytics project : charts, tables, and performance notes",WPF/MVVMによる宝くじ分析プロジェクト：チャート、テーブル、およびパフォーマンスノート
_posts/2025-12-26-writing-an-nes-emulator-in-haskell.md,Writing an NES emulator in Haskell,HaskellでNESエミュレータを書く
_posts/2025-12-26-x-payments-incentivised-misinformation-in-wake-of.md,"X payments incentivised misinformation in wake of Bondi shooting, expert says",ボンダイ銃撃事件後のXの支払いが誤情報を助長したと専門家が指摘
_posts/2025-12-27--tucky.md,-tucky,-tucky
_posts/2025-12-27-after-60000-miles-of-charging-to-100-every-night-a.md,"After 60,000 Miles of Charging to 100% Every Night, a Ford F-150 Lightning",毎晩100%まで充電して6万マイル走行した後のフォード F-150 ライトニング
_posts/2025-12-27-ai-data-centers-are-forcing-dirty-peaker-power-pla.md,AI data centers are forcing dirty ‘peaker’ power plants back into service,AIデータセンターが汚い「ピーク時用」発電所の再稼働を強いている
_posts/2025-12-27-ai-police-reports-year-in-review.md,AI Police Reports: Year in Review,AI警察レポート：今年の振り返り
_posts/2025-12-27-airtight-seal-think-of-seal-like-a-digital-notary.md,Airtight SEAL: Think of SEAL like a digital notary. It verifies that a file,気密性の高いSEAL：SEALをデジタル公証人のように考えてください。ファイルが...
_posts/2025-12-27-always-bet-on-text.md,Always Bet on Text,常にテキストに賭けろ
_posts/2025-12-27-any-programming-youtube-channels-similar-to-these.md,Any programming youtube channels similar to these?,これらに似たプログラミングYouTubeチャンネルはありますか？
_posts/2025-12-27-apple-releases-open-source-model-that-instantly-tu.md,Apple releases open-source model that instantly turns 2D photos into 3D views,Apple、2D写真を瞬時に3Dビューに変換するオープンソースモデルをリリース
_posts/2025-12-27-arcan-071-minutes-to-midnight.md,Arcan 0.7.1 – Minutes To Midnight,Arcan 0.7.1 – 終末への数分前
_posts/2025-12-27-at-the-edges-of-the-ai-data-center-boom-rural-amer.md,"At the edges of the AI data center boom, rural America is up against Silicon",AIデータセンターブームの端で、アメリカの農村部がシリコンバレーと対峙
_posts/2025-12-27-austrias-top-court-rules-metas-ad-model-illegal-or.md,"Austria's top court rules Meta's ad model illegal, orders overhaul of user data practices in EU",オーストリア最高裁、Metaの広告モデルを違法と判断、EUでのユーザーデータ慣行の刷新を命令
_posts/2025-12-27-c-header-only-library-for-parsing-mepg-tsdvb-hls-l.md,C header only library for parsing MEPG-TS/DVB (hls) live streams + m3u8 Playlists,MEPG-TS/DVB (hls) ライブストリーム + m3u8 プレイリスト解析用のCヘッダーのみのライブラリ
_posts/2025-12-27-chasing-an-economic-boom-white-house-dismisses-ris.md,"Chasing an Economic Boom, White House Dismisses Risks of A.I.",経済ブームを追い求め、ホワイトハウスはAIのリスクを退ける
_posts/2025-12-27-commandry-a-command-line-parser-for-standard-ml.md,Commandry - A Command-Line Parser for Standard ML,Commandry - Standard ML用のコマンドラインパーサー
_posts/2025-12-27-concurrent-hash-map-designs-synchronized-sharding.md,"Concurrent Hash Map Designs: Synchronized, Sharding, and ConcurrentHashMap",並行ハッシュマップの設計：同期、シャーディング、およびConcurrentHashMap
_posts/2025-12-27-contractmd-the-naughty-list-for-ai-coding-agents.md,CONTRACT.md: The Naughty List for AI Coding Agents,CONTRACT.md：AIコーディングエージェントのための「いたずらっ子リスト」
_posts/2025-12-27-copy-of-grand-theft-auto-that-runs-in-a-web-browse.md,Copy of Grand Theft Auto that runs in a web browser gets taken down by DMCA,ウェブブラウザで動作するグランド・セフト・オートのコピーがDMCAにより削除
_posts/2025-12-27-deepfakes-hit-a-whole-new-level-in-2025-the-2026-f.md,Deepfakes hit a whole new level in 2025. The 2026 forecast looks like a total,ディープフェイクは2025年に全く新しいレベルに達した。2026年の予測は完全に...
_posts/2025-12-27-detect-memory-leaks-of-c-extensions-with-psutil-an.md,Detect memory leaks of C extensions with psutil and psleak,psutilとpsleakでC拡張のメモリリークを検出する
_posts/2025-12-27-easel-turns-one-one-year-of-building-my-own-ide-in.md,Easel Turns One! One year of building my own IDE in Clojure,Easelが1周年！Clojureで独自のIDEを構築した1年
_posts/2025-12-27-eertree-an-interactive-guide.md,Eertree - an interactive guide,Eertree - インタラクティブガイド
_posts/2025-12-27-exedev.md,Exe.dev/,Exe.dev/
_posts/2025-12-27-faster-practical-modular-inversion.md,Faster practical modular inversion,より高速で実用的なモジュラ逆数
_posts/2025-12-27-garmin-autopilot-lands-small-aircraft-without-huma.md,Garmin autopilot lands small aircraft without human assistance,ガーミンのオートパイロットが人間の介助なしで小型機を着陸させる
_posts/2025-12-27-german-minister-sees-merit-to-social-media-ban-for.md,German minister sees 'merit' to social media ban for teens,ドイツの閣僚、10代のソーシャルメディア禁止に「メリット」を見出す
_posts/2025-12-27-gpgfail.md,Gpg.fail,Gpg.fail
_posts/2025-12-27-hollywood-cozied-up-to-ai-in-2025-and-had-nothing.md,Hollywood cozied up to AI in 2025 and had nothing good to show for it,ハリウッドは2025年にAIに歩み寄ったが、良い成果は何も得られなかった
_posts/2025-12-27-how-ai-could-cause-social-security-to-run-out-of-m.md,How AI Could Cause Social Security to Run Out of Money Sooner Than Expected,AIがいかにして社会保障資金を予想より早く枯渇させる可能性があるか
_posts/2025-12-27-how-data-really-travels-over-the-network-json-vs-a.md,How Data Really Travels Over the Network (JSON vs Avro vs Protobuf),データが実際にネットワーク上をどのように移動するか (JSON vs Avro vs Protobuf)
_posts/2025-12-27-how-reality-crushed-nsect-the-french-startup-that.md,"How reality crushed Ÿnsect, the French startup that had raised over $600M for",現実がいかにして6億ドル以上を調達したフランスのスタートアップŸnsectを打ち砕いたか
_posts/2025-12-27-how-search-engines-explore-the-entire-internet-ep.md,How Search Engines Explore the Entire Internet? EP: 2 Behind The Screen,検索エンジンはいかにしてインターネット全体を探索するのか？ 第2回：スクリーンの裏側
_posts/2025-12-27-how-to-make-a-markdown-viewer-in-java.md,How to make a markdown viewer in java,JavaでMarkdownビューアを作る方法
_posts/2025-12-27-how-to-train-ultralytics-yolov8-models-on-your-cus.md,How to Train Ultralytics YOLOv8 models on Your Custom Dataset | 196 classes,カスタムデータセットでUltralytics YOLOv8モデルをトレーニングする方法 | 196クラス
